Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]",GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","GDP, PPP (current international $) [NY.GDP.MKTP.PP.CD]",GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP (current LCU) [NY.GDP.MKTP.CN],GDP per capita (constant LCU) [NY.GDP.PCAP.KN],General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS]
2010,YR2010,Thailand,THA,341104766329.17,4973.86288823778,68579447,6.79479928649167,12932.2633444457,886887468620.454,7.51339053261624,10808145000000,120041.737869365,15.8008150334771,1.5225558657538
2010,YR2010,Bahrain,BHR,26805984042.5532,21819.3291098099,1228543,0.0771669589062469,49254.5770084238,60511365801.66,4.3342989754845,10079050000,8204.06774528852,12.3894325358045,3.27782374844849
2010,YR2010,"Hong Kong SAR, China",HKG,228638668727.291,32550.136489179,7024200,5.98638709206976,49197.6589927693,345574196297.01,6.76766581747881,1776332000000,336509.211013354,8.85932359491356,..
2010,YR2010,North America,NAC,16672948893486.3,48545.7943594729,343447854,1.83184752632984,47800.9931335717,16417148510793.9,2.72395916692713,..,..,17.1493090642742,4.54402536279256
2010,YR2010,World,WLD,66722149003894.3,9530.01080884583,7001266876,3.26292949064214,12882.8028021865,90195940528988.1,4.52714707154168,..,..,17.5158187164869,2.50928827012833
2011,YR2011,China,CHN,7671757207851.29,5703.76027973346,1345035000,8.86480747550642,10456.7916826113,14064750800821.1,9.4613358870736,49570760000000,43529.0383462884,15.511543498627,1.65908251595704
2011,YR2011,India,IND,1823051829894.55,1445.46127486037,1261224954,3.76074153145865,4454.70153200513,5618380734786.9,5.24131619937695,87363287113700,69268.6009992314,11.0844615855594,2.70448222276966
2011,YR2011,Indonesia,IDN,892969104563.171,3579.46442466152,249470032,4.82294276512758,8936.99215549454,2229511719014.97,6.16978420771008,7.831726E+15,29212467.8927367,9.05867718048359,0.653776702606807
2011,YR2011,"Korea, Rep.",KOR,1253289537500.81,25097.595426845,49936638,2.89141199434026,32546.7536531234,1625275455251.2,3.68566778212526,1.3889372E+15,29621505.5567017,14.3726584614481,2.47295558071308
2011,YR2011,Saudi Arabia,SAU,680660800000,27126.7498747702,25091867,6.79987643160875,64125.2177225838,1609021434441.12,11.7588568052005,2552478000000,123315.85369873,19.8722966466312,7.17239914861776
2011,YR2011,Turkiye,TUR,838785289694.35,11300.7852215681,74223629,9.57986395820123,19590.9510387254,1454111481655.52,11.2001105833504,1404927614900,16347.8124695304,13.6003551694441,2.02750659150507
2011,YR2011,United Kingdom,GBR,2663805834828.07,42109.6418795749,63258810,0.351039954761518,37224.3787645256,2354769903633.16,1.13836239840663,1662590000000,31538.5925849696,20.8962522329618,2.49903987829525
2011,YR2011,United States,USA,15599732000000,50024.8812320773,311839461,0.762796403185064,50024.8812320773,15599732000000,1.56440685537306,15599732000000,54683.2974419488,16.0984239985661,4.82244197600452
2011,YR2011,Brunei Darussalam,BRN,18524791070.6802,46382.8274456238,399389,1.91129562089716,82735.3914838894,33043605269.3591,3.74440638728039,23302575510.0926,48548.1681130815,18.7287967293992,2.24224141990167
2011,YR2011,Israel,ISR,268094998225.028,34522.5215979073,7765800,3.58663560932411,31313.9334997029,243177744771.993,5.51879621371651,959278570000,139715.151948286,21.7733543239687,5.76961982715994
2011,YR2011,Kuwait,KWT,154039231299.128,49169.6063983139,3132814,2.99936481863466,79036.7857714517,247607548979.805,9.6286341294699,42511593014.7019,11575.5897660008,14.8819781884251,3.50139726568748
2011,YR2011,Monaco,MCO,6088689808.38347,179363.984221513,33946,4.5537743299959,..,..,7.02235694617619,4374200000,142394.670947976,..,..
2011,YR2011,Oman,OMN,77497529258.7776,25188.0074151885,3076763,-7.78414520830087,52393.3135820293,161201808676.585,2.89460973541192,29797800000,8793.26746974011,15.8182818865822,6.45275108066004
2011,YR2011,Qatar,QAT,167775268626.374,103261.506539346,1624761,12.8218939441647,174619.911359101,283715621799.724,13.3751764107929,610701977800,327627.52558684,11.0390996673795,..
2011,YR2011,Singapore,SGP,279356499090.458,53891.4570264372,5183688,4.02338164865897,80052.3914982651,414966621180.859,6.21493416858989,351367900000,69722.2325109073,9.23684263701949,3.19387456850782
2011,YR2011,United Arab Emirates,ARE,360832739550.715,50789.050540755,7104538,2.7072485035069,87709.0444061316,623132238927.049,6.21612181664371,1325158236000,164820.509989531,9.67287337600639,5.46631452753061
2011,YR2011,Afghanistan,AFG,17805098206.3141,606.694676337726,29347708,-3.21329500579925,1744.06062321558,51184181904.4289,0.426354776777345,850347275400,35406.6213245682,..,1.82134545354632
2011,YR2011,Arab World,ARB,2565019402570,6894.19536785393,372054934,1.41889781336131,15207.1297032501,5657887638072.17,3.78621306183466,..,..,16.1658185588235,4.86718649164581
2011,YR2011,Bangladesh,BGD,128607482310.357,837.336944695647,153591076,5.501503282369,3051.26983271811,468647816773.515,6.46437912497728,9158288000000,98869.1798408913,5.0974466876342,1.21766894947597
2011,YR2011,East Asia & Pacific,EAS,19920538113453.8,8929.66684535938,2230826576,4.69182593511381,12741.4636647756,28423995760519.8,5.45825461944838,..,..,16.4536741099739,1.46592766446353
2011,YR2011,"Egypt, Arab Rep.",EGY,235989672977.625,2590.64384891965,91093059,-0.354646267702748,8988.10781880653,818754235836.905,1.7645719489982,1371100000000,55685.2763415275,11.4506600539713,1.83702551137618
2011,YR2011,Europe & Central Asia,ECS,23416306190930,26221.7856583388,893009595,2.14512354311951,27777.3802390661,24805467077449.4,2.37661188648931,..,..,19.9392155866903,1.72484478191669
2011,YR2011,"Iran, Islamic Rep.",IRN,629082257472.368,8025.68743364356,78383598,1.38495950476558,18487.0762403762,1449083552221,2.64571792008958,6.8959997064121E+15,172214540.030941,13.2008336811217,2.38163454250427
2011,YR2011,Iraq,IRQ,185749664444.444,5775.54229080293,32161424,3.81441942451566,12912.0299790146,415269270855.8,7.546471200426,217327107400000,4436999.33808901,19.6730397838995,2.30344021962536
2011,YR2011,Jordan,JOR,29524149154.9296,3946.85503855525,7480424,0.218599818569089,9631.9289925536,72050912802.1938,2.73717988632104,20962145900,3333.28015898564,20.0647396505336,5.40164163067694
2011,YR2011,Lebanon,LBN,39927125961.5257,7834.96257108993,5096020,-0.215990101752055,14974.553438993,76310623816.177,0.86733987855277,60190142387000,11471079.3258268,12.5687445905327,4.05865660564424
2011,YR2011,Malaysia,MYS,297951668674.835,10217.1068585031,29162039,3.46597439015295,21324.3594996498,621861803378.808,5.29391283414003,911733000000,32807.4090704014,13.2706614765507,1.55285313376988
2011,YR2011,"Middle East, North Africa, Afghanistan & Pakistan",MEA,3654665416709.42,5718.86907861057,639053870,1.48358193478624,12536.7435088675,8011654456539.14,3.79401508520942,..,..,15.880739184308,4.31131333870119
2011,YR2011,Pakistan,PAK,230586581059.665,1131.73513834324,203746065,0.408754534144464,3879.5977693449,790452779286.801,2.68011685421705,19731030411400,129170.267981863,10.2265876335199,2.91924318438144
2011,YR2011,Philippines,PHL,234216730291.32,2383.91892522087,98248614,1.83760514144211,5705.43591174904,560551170595.17,3.85823282795663,10144661326800,118224.165410618,9.71363218007827,1.15341455205701
2011,YR2011,South Africa,ZAF,458199494830.834,8646.05571071635,52995205,1.90092049729387,13143.1933361097,696526225201.767,3.16855627858818,3327047014300,77360.0883985636,18.1951431854763,1.00265340405471
2011,YR2011,South Asia,SAS,2045738547568.26,1397.0068242448,1464372623,4.05367435260628,4336.46159734734,6350195643846.29,5.45109403190725,..,..,10.673184896707,2.59584817717044
2011,YR2011,Sri Lanka,LKA,67753284043.9282,3224.95736331928,21009048,7.99726895684675,9075.54549583927,190668570948.271,8.66948301160571,7491155943000,439401.706521876,..,2.68531865302989
2011,YR2011,Thailand,THA,370818739623.622,5373.6232832898,69007208,0.215045559628464,13227.454108915,912789677004.354,0.840132083053334,11306906000000,120299.882296354,16.1417809611223,1.39063450331731
2011,YR2011,Bahrain,BHR,29914680851.0638,25032.7867743333,1195020,4.78747209697194,52677.4511190668,62950607636.3072,1.92815791170796,11247920000,8596.83519941089,13.3095861279241,3.59149722735675
2011,YR2011,"Hong Kong SAR, China",HKG,248513617677.287,35142.4879344543,7071600,4.11212204998519,52277.4664432843,369685331700.329,4.81468100120659,1934430000000,350346.880479665,8.71145505394354,..
2011,YR2011,North America,NAC,17399371321174.5,50251.9927293556,346242415,0.86549061161449,49199.8016626681,17035058145203.2,1.68621132081736,..,..,16.6179110912497,4.44825526033484
2011,YR2011,World,WLD,74213035604821,10471.5364278845,7087120034,2.09536477927612,13569.2478017729,96166887942254.8,3.34731098254248,..,..,17.3192521677749,2.40181672950031
2012,YR2012,China,CHN,8673664713189.24,6405.0574241349,1354190000,7.12701272347094,11420.2527051141,15465192010738.5,7.85617427055587,54751060000000,46631.3584476329,15.9047696976095,1.70094267160117
2012,YR2012,India,IND,1827637590410.41,1429.32199520032,1278674502,4.01726735836323,4819.64288218731,6162754462198.7,5.45638755166587,99440131041500,72051.3058967684,10.6838562318127,2.61816634758562
2012,YR2012,Indonesia,IDN,917869913332.649,3632.27254030331,252698525,4.67540374198676,9530.29071136718,2408290405583.69,6.03005065305615,8.6157045E+15,30578268.7097204,9.24878837149533,0.711549473406383
2012,YR2012,"Korea, Rep.",KOR,1278046536287.01,25459.1689000965,50199853,1.86559949596563,33557.1287196434,1684562928828.18,2.40253099246186,1.4401114E+15,30174124.2150649,14.6858638852522,2.49929988050229
2012,YR2012,Saudi Arabia,SAU,751921333333.333,28733.4375513452,26168861,1.40883378518255,65033.6161818077,1701855662189.08,5.76150732412802,2819705000000,125053.169108124,20.1587045453336,7.61580760228465
2012,YR2012,Turkiye,TUR,880555885492.269,11713.2849831139,75175827,3.46121242479198,20627.4920606022,1550688774591.71,4.78849271108008,1581479250900,16913.6449859075,14.1261228924037,2.00944779894555
2012,YR2012,United Kingdom,GBR,2707089726614.64,42490.1465463521,63711000,0.788536354838072,38336.5961844419,2442462879506.98,1.50899834668228,1713715000000,31787.2858533063,20.7376372383973,2.41781748358099
2012,YR2012,United States,USA,16253970000000,51708.3940614082,314339099,1.47570596859667,51708.3940614082,16253970000000,2.289113386319,16253970000000,55490.2621261251,15.4758499000552,4.4617099699335
2012,YR2012,Brunei Darussalam,BRN,19048443339.9457,46968.5971144517,405557,-0.621623584150967,87256.0422331538,35387298719.9512,0.913135324414256,23802306198.9659,48246.3812504173,18.4380612673182,2.15903448896045
2012,YR2012,Israel,ISR,263589172712.391,33321.4300881602,7910500,0.573190077448643,32483.7421872738,256962642572.43,2.44716836741318,1016379244000,140515.985335946,22.0038394447968,5.64197274014679
2012,YR2012,Kuwait,KWT,174047662555.419,52155.2225460479,3337109,0.0983288463798146,82089.7260743667,273942363690.304,6.62587503701585,48722206465.1139,11586.9719098794,15.0596547905804,3.41374157981372
2012,YR2012,Monaco,MCO,5742749294.00852,165444.651378771,34711,-1.21400229828895,..,..,1.01221841230461,4469800000,140665.996370027,..,..
2012,YR2012,Oman,OMN,87408842652.7958,24642.2978768596,3547106,-5.57202783891576,49989.4425093994,177317851461.746,8.86312225557018,33608700000,8303.30415837587,17.1446678984906,10.5832031528957
2012,YR2012,Qatar,QAT,186833502362.637,108470.378825036,1722438,-1.20907761380548,180939.425774901,311656942652.869,4.73001184360784,680073948600,323666.254518305,12.2483738969089,..
2012,YR2012,Singapore,SGP,295092888076.589,55547.5553077786,5312437,1.90446223662212,82107.7270892092,436192127374.617,4.43549759378537,368770500000,71050.0660996074,8.85786688468844,3.10816619008299
2012,YR2012,United Arab Emirates,ARE,384610125391.423,52034.4762476071,7391448,-2.12798722685963,87339.6876580759,645566759660.909,1.8244807850986,1412480685500,161313.150589709,9.47695082659592,5.07555649376756
2012,YR2012,Afghanistan,AFG,19907329777.5872,651.417134470046,30560034,8.27936899310519,1988.42930381554,60766467131.1993,12.7522870926697,1028794220100,38338.0661520206,..,1.17541612009987
2012,YR2012,Arab World,ARB,2805384177334.91,7362.6299087983,381030177,2.62269960576931,16069.9412026037,6123132540807.66,5.09831162460573,..,..,16.0219848101012,4.95962377487007
2012,YR2012,Bangladesh,BGD,133310747603.483,859.680536375497,155070101,5.50548020192592,3434.27815090447,532553859722.85,6.52145877906443,10552040389000,104312.402962838,5.03934251857421,1.18089723364654
2012,YR2012,East Asia & Pacific,EAS,21319769973614.6,9479.32344288198,2249081393,4.35132851357449,13621.7934985721,30636522296926.9,5.20523371006799,..,..,16.6474145234723,1.49282188546912
2012,YR2012,"Egypt, Arab Rep.",EGY,279116666666.667,2996.0677072015,93161001,-0.0429670178954922,10342.4317112754,963511290996.558,2.22619979863525,1674700000000,55661.3500388767,11.1781214545889,1.64817579267929
2012,YR2012,Europe & Central Asia,ECS,22544769718453.8,25146.0197755091,896554203,-0.0855113638656917,28527.6671845099,25576599916057.6,0.311077539230638,..,..,19.9438140095604,1.7696474144866
2012,YR2012,"Iran, Islamic Rep.",IRN,644019315003.54,8114.08099831877,79370580,-4.94408603979214,16325.2010690607,1295740677467.97,-3.7471713986414,7.8956768019434E+15,163700104.998779,13.3279001556293,2.68660846849974
2012,YR2012,Iraq,IRQ,218002476129.472,6477.59618450955,33654842,8.88055394419878,14402.0340893955,484698181757.22,13.9364301737537,254225490700000,4831029.45781175,16.5831656707271,1.89956836613945
2012,YR2012,Jordan,JOR,31634561690.1408,4169.50470054618,7587127,0.988823291779653,9738.53746926194,73887520573.5489,2.42935800100238,22460538800,3366.24040957796,19.1135218893324,4.65572090662121
2012,YR2012,Lebanon,LBN,44016799515.7546,8406.98405608118,5235742,-0.172272058447192,16121.335238646,84407152005.059,2.56479133680038,66355325270000,11451317.8613461,13.6696239596325,3.98937634457757
2012,YR2012,Malaysia,MYS,314443047642.111,10600.5744240026,29662831,3.69276569143121,22638.5406944009,671523206704.637,5.47345419253853,971252000000,34018.9098168007,13.842133658412,1.41333070740643
2012,YR2012,"Middle East, North Africa, Afghanistan & Pakistan",MEA,3942874851169.17,6035.56581008106,653273442,1.70233889245817,12900.5703341074,8427599985925.46,3.9653151427228,..,..,15.7351237959098,4.45981103835275
2012,YR2012,Pakistan,PAK,250106966104.704,1204.36475491585,207667125,1.08227196914481,4046.59848766311,840345473962.346,3.02758391088629,22344639137200,130568.2415847,10.0992931187051,3.09577353673779
2012,YR2012,Philippines,PHL,261920540962.63,2614.61644401308,100175512,4.8407653397621,6094.26837338658,610496454569.407,6.89695171050985,11060588830600,123947.119833039,10.7921471088194,1.10670418975985
2012,YR2012,South Africa,ZAF,434400545085.811,8076.97678479741,53782567,0.897179683754416,12986.7976675307,698463315669.415,2.39623238465745,3566385035100,78054.14739501,18.8205452606488,1.03352274081458
2012,YR2012,South Asia,SAS,2057958207007.54,1387.18205938261,1483553073,4.27930192502724,4712.83282343293,6991737617739.2,5.6451591564403,..,..,10.2714382839415,2.49455204849729
2012,YR2012,Sri Lanka,LKA,70447216891.3366,3327.77612404326,21169458,7.80902907208001,10249.1670637487,216969311691.012,8.63218138024038,8989301155300,473714.713527385,..,2.15519951243996
2012,YR2012,Thailand,THA,397558325278.579,5725.52802835463,69436098,6.58038336266074,14616.6497925392,1014923127426.43,7.24279620249642,12357342000000,128216.075736283,16.3529827045331,1.38988888346862
2012,YR2012,Bahrain,BHR,31963404255.3191,26438.6733230428,1208964,2.60578123430011,56712.5692656153,68563454589.6353,3.80302899043062,12018240000,8820.84991778084,14.8557525893975,3.8444905725653
2012,YR2012,"Hong Kong SAR, China",HKG,262628865879.697,36730.796195815,7150100,0.583739759604555,52149.6812694206,372875436044.484,1.70029380269649,2037059000000,352391.994517559,9.09693828210179,..
2012,YR2012,North America,NAC,18088714669521.6,51812.8857334456,349116140,1.40176940047066,50775.2778839875,17726469022285.1,2.24337859433668,..,..,16.0395823804397,4.12365700395473
2012,YR2012,World,WLD,75866007009764.4,10570.7588133609,7176968877,1.42148340567505,14110.3961346767,101269873900716,2.70728114800569,..,..,17.1409654842394,2.36487746550867
2013,YR2013,China,CHN,9743124247267.24,7147.03518622344,1363240000,7.06322465705706,12228.3736084197,16670208037942.1,7.77872409446717,60366040000000,49925.0360554268,15.9462837052091,1.7143409229625
2013,YR2013,India,IND,1856721507621.58,1432.84397512195,1295829511,4.97769997302639,5014.3505659078,6497743441802.88,6.38610640094825,112335216116400,75637.803730957,10.2951601419598,2.5488248901417
2013,YR2013,Indonesia,IDN,912524136718.018,3566.60284506078,255852467,4.25603923226443,9866.01699250847,2524244786997.21,5.5572636889101,9.546134E+15,31879691.8225533,9.51771996272418,0.918769839183066
2013,YR2013,"Korea, Rep.",KOR,1370632955321.2,27179.5170146052,50428893,2.69615096128955,34244.3121393117,1726902752731.95,3.16470863647184,1.5008191E+15,30987664.1551501,14.9765418097358,2.50300902333872
2013,YR2013,Saudi Arabia,SAU,769755733333.333,27865.465604962,27624004,-2.47714591214456,62202.8859202572,1718292769472.73,2.94569990701297,2886584000000,121955.419641555,22.3610329718449,8.89019141193183
2013,YR2013,Turkiye,TUR,957799120008.32,12578.1878632,76147624,7.10131954327058,22373.2465583744,1703669566586.39,8.48581699653026,1823427315100,18114.7369627712,14.0183847134034,1.92395933259341
2013,YR2013,United Kingdom,GBR,2784853502534.29,43419.0352598932,64139000,1.12060990188769,39947.5369562562,2562195072837.32,1.79992149702836,1781361000000,32143.4973261198,20.1291035337587,2.29232047399432
2013,YR2013,United States,USA,16880683000000,53297.3862901595,316726282,1.34816252728235,53297.3862901595,16880683000000,2.11783009786468,16880683000000,56238.3610464003,14.9919526360397,4.02370560438155
